"","","GR19-MIT5","IS19-13","IS19-14"
"17","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;Granulicella tundricola MP5ACTX9",10,NA,NA
"18","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;metagenome",149,12,4
"19","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;uncultured Acidobacteria bacterium",872,5,3
"20","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;uncultured Acidobacteriaceae bacterium",20,NA,NA
"21","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;uncultured bacterium",1306,71,17
"22","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;uncultured soil bacterium",193,16,4
"23","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Occallatibacter;uncultured Acidobacteria bacterium",12,NA,NA
"24","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Occallatibacter;uncultured bacterium",71,NA,NA
"25","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;Acidobacteria bacterium KBS 3",7,NA,NA
"26","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;metagenome",14,NA,NA
"27","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;Terriglobus saanensis SP1PR4",256,4,NA
"28","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;Terriglobus sp. TAA 43",58,NA,NA
"29","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;uncultured Acidobacteriaceae bacterium",1,NA,NA
"30","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;uncultured bacterium",NA,NA,2
"31","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);uncultured bacterium",53,NA,NA
"32","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);uncultured;uncultured bacterium",27,NA,NA
"33","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Candidatus Koribacter;uncultured bacterium",7,NA,NA
"34","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;uncultured;uncultured bacterium",31,NA,6
"35","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;Bryobacter aggregatus",NA,NA,82
"36","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;metagenome",16,18,110
"37","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured Acidobacteria bacterium",11,3,20
"38","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured Acidobacteriaceae bacterium",NA,NA,2
"39","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured Acidobacterium sp.",NA,NA,2
"40","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured bacterium",53,15,75
"41","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured prokaryote",NA,NA,4
"42","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured soil bacterium",NA,NA,1
"43","Bacteria;Acidobacteriota;Acidobacteriae;GOUTB8;uncultured bacterium",NA,4,NA
"44","Bacteria;Acidobacteriota;Acidobacteriae;Paludibaculum;metagenome",NA,NA,24
"45","Bacteria;Acidobacteriota;Acidobacteriae;Paludibaculum;uncultured Acidobacteria bacterium",NA,NA,6
"46","Bacteria;Acidobacteriota;Acidobacteriae;Paludibaculum;uncultured bacterium",25,16,100
"47","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus Ellin6076",NA,NA,4
"48","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;metagenome",141,NA,7
"49","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured Acidobacteria bacterium",680,15,56
"50","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured bacterium",733,19,70
"51","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured eubacterium WD205",194,NA,4
"52","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured proteobacterium",NA,NA,4
"53","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured soil bacterium",37,NA,2
"54","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 15;uncultured bacterium",2,NA,NA
"55","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;uncultured Acidobacteria bacterium",NA,NA,2
"56","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;uncultured bacterium",NA,NA,14
"57","Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI 0001001-H03;uncultured Acidobacteria bacterium",1,NA,NA
"58","Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI 0001001-H03;uncultured bacterium",18,34,20
"59","Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;Chloracidobacteriaceae;Chloracidobacterium;uncultured Acidobacteria bacterium",NA,10,8
"60","Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;Brevitalea deliciosa",1,NA,NA
"61","Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;uncultured Acidobacteria bacterium",25,NA,NA
"62","Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;uncultured bacterium",NA,NA,2
"63","Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;uncultured bacterium",NA,NA,10
"64","Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;marine group;uncultured Acidobacteria bacterium",NA,NA,1
"65","Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;uncultured bacterium",14,NA,7
"66","Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;uncultured;uncultured bacterium",NA,NA,6
"67","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;freshwater sediment metagenome",NA,NA,13
"68","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;uncultured Acidobacteria bacterium",NA,NA,1
"69","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;uncultured bacterium",14,NA,4
"70","Bacteria;Acidobacteriota;Subgroup 5;uncultured bacterium",NA,NA,2
"71","Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;uncultured bacterium",7,NA,NA
"72","Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;metagenome",NA,NA,2
"73","Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;uncultured bacterium",8,NA,NA
"74","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;Acidobacteria bacterium SCN 69-37",1,NA,NA
"75","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;metagenome",8,NA,2
"76","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;uncultured Acidobacteria bacterium",88,17,4
"77","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;uncultured bacterium",NA,9,13
"78","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;uncultured sludge bacterium A22",12,NA,NA
"79","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;uncultured bacterium",10,NA,2
"80","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;uncultured proteobacterium",NA,NA,10
"81","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;uncultured;uncultured Acidobacteria bacterium",7,NA,2
"82","Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithrix;uncultured bacterium",18,4,1
"83","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;uncultured bacterium",164,NA,2
"84","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;metagenome",NA,NA,2
"85","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;groundwater metagenome",NA,NA,8
"86","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;Iamia sp. T2-YC6790",NA,NA,6
"87","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;metagenome",40,4,75
"88","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;uncultured actinobacterium",2,NA,NA
"89","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;uncultured bacterium",24,4,61
"90","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured;uncultured bacterium",NA,NA,11
"91","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;metagenome",NA,NA,8
"92","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207;metagenome",1,NA,1
"93","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207;uncultured bacterium",NA,NA,5
"94","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;uncultured actinobacterium",NA,NA,9
"95","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;uncultured Actinomycetales bacterium",NA,NA,4
"96","Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;uncultured bacterium",14,4,29
"97","Bacteria;Actinobacteriota;Acidimicrobiia;uncultured;metagenome",1,NA,NA
"98","Bacteria;Actinobacteriota;Acidimicrobiia;uncultured;uncultured actinobacterium",15,NA,NA
"99","Bacteria;Actinobacteriota;Acidimicrobiia;uncultured;uncultured Actinomycetales bacterium",NA,NA,2
"100","Bacteria;Actinobacteriota;Acidimicrobiia;uncultured;uncultured bacterium",278,4,50
"101","Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. canine oral taxon 412",1,NA,NA
"102","Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. Marseille-P3257",1,NA,NA
"103","Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. MS2",1,NA,NA
"104","Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. Z16",1,NA,NA
"105","Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces urogenitalis DSM 15434",1,NA,NA
"106","Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;F0332;unidentified",1,NA,NA
"107","Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;uncultured bacterium",14,NA,NA
"108","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium accolens ATCC 49725",2,NA,NA
"109","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium humireducens NBRC 106098 = DSM 45392",17,5,NA
"110","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium jeikeium K411",1,NA,NA
"111","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sphenisci DSM 44792",16,14,NA
"112","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;uncultured bacterium",NA,NA,4
"113","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;unidentified",11,NA,NA
"114","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriales Incertae Sedis;Tomitella;Tomitella cavernea",39,NA,NA
"115","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;Dietzia sp. UCD-THP",8,NA,NA
"116","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Hoyosella;Hoyosella subflava DQS3-9A1",42,NA,NA
"117","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium abscessus",13,NA,NA
"118","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium asiaticum",1,NA,NA
"119","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium heckeshornense",10,NA,NA
"120","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium leprae",16,7,NA
"121","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium pallens JCM 16370",10,4,NA
"122","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp. CHNTR34",9,NA,NA
"123","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium talmoniae",49,95,6
"124","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis TKK_03_0036",1,NA,NA
"125","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis UT0004",19,9,NA
"126","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis UT0020",132,503,22
"127","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium ulcerans Agy99",15,24,1
"128","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycolicibacter sinensis",17,NA,NA
"129","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;uncultured bacterium",9,NA,NA
"130","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia amicalis NBRC 100051 = JCM 11271",NA,6,NA
"131","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia polyisoprenivorans NBRC 16320 = JCM 10675",8,5,NA
"132","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia sp.",9,NA,NA
"133","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia sp. 63",NA,13,3
"134","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia sp. CNJ756 PL04",NA,7,NA
"135","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia sp. NAM506",NA,4,NA
"136","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Millisia;Millisia brevis",NA,3,NA
"137","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia farcinica",1,NA,NA
"138","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;actinobacterium P23",36,239,14
"139","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia aobensis",1,NA,NA
"140","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia beijingensis",25,5,NA
"141","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia casuarinae",NA,11,1
"142","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia jiangxiensis NBRC 101359",1,NA,NA
"143","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia nova",2,NA,NA
"144","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia polyresistens",13,NA,NA
"145","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia rhizosphaerae",2,NA,NA
"146","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp.",7,NA,NA
"147","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp. CFHS0054",1,NA,NA
"148","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp. DSM 43301",33,14,4
"149","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp. J1S12",1,NA,NA
"150","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia transvalensis",NA,68,NA
"151","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia zapadnayensis",NA,4,NA
"152","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Rhodococcus sp.",2845,15369,1121
"153","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;uncultured actinobacterium",7,6,NA
"154","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;uncultured bacterium",5603,44315,3667
"155","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Aldersonia kunmingensis",NA,4,NA
"156","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus aerolatus",NA,11,NA
"157","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus agglutinans",43,855,55
"158","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus coprophilus",NA,6,NA
"159","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis",1,NA,NA
"160","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus fascians",44,18,NA
"161","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus hoagii",18,23,1
"162","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus hoagii 103S",917,3014,200
"163","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus opacus",NA,15,1
"164","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus opacus B4",1,3,NA
"165","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus percolatus",NA,4,NA
"166","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus phenolicus",NA,5,NA
"167","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus phenolicus JCM 14914",32,NA,NA
"168","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus pyridinivorans SB3094",8,6,4
"169","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus qingshengii JCM 15477",10,NA,NA
"170","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus ruber",180,26,5
"171","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. A1S139",NA,46,6
"172","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. Ellin170",NA,10,NA
"173","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. F",181,94,8
"174","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. G1DM-56",NA,73,1
"175","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. IFO16253",NA,3,NA
"176","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. MN4-1",120,77,2
"177","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. MN6-14",7,NA,NA
"178","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. N66",NA,NA,2
"179","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. PBTS 1",25,82,6
"180","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. S2-17",1,5,NA
"181","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. TM19",NA,8,1
"182","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus zopfii NBRC 100606 = JCM 9919",350,220,6
"183","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;uncultured bacterium",14,23,1
"184","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia herbipolensis",NA,53,2
"185","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Segniliparaceae;uncultured;Rhodococcus sp. MN8-9",NA,4,5
"186","Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Tsukamurellaceae;Tsukamurella;Tsukamurella inchonensis",29,10,NA
"187","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;uncultured Actinomycetales bacterium",NA,NA,1
"188","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;uncultured bacterium",25,11,8
"189","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;uncultured soil bacterium",NA,NA,1
"190","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium aurantiacum",NA,20,NA
"191","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;uncultured bacterium",NA,3,NA
"192","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Fodinicola;Fodinicola sp. HKI 0511",NA,7,NA
"193","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia inefficax",1,NA,NA
"194","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.",NA,NA,1
"195","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp. BMG5.36",NA,20,NA
"196","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp. EAN1pec",12,NA,NA
